Name,Password,Id,X,Y,Availability
Driver58,pass8031,58,50.62,35.44,1
Driver59,pass7692,59,98.84,68.18,0
Driver60,pass6723,60,47.26,68.64,0
Driver61,pass3350,61,22.24,28.81,1
Driver62,pass9409,62,58.77,13.57,0
Driver63,pass9063,63,26,67.07,1
Driver64,pass3337,64,63.24,5.76,0
Driver65,pass4935,65,54.01,65.93,1
Driver66,pass6410,66,73.88,96.6,1
Driver67,pass2257,67,79.25,59.79,1
Driver68,pass8192,68,86.56,96.22,0
Driver69,pass8802,69,53.95,51.98,1
Driver70,pass6916,70,23.41,63.84,1
Driver71,pass5393,71,15.1,2.38,1
Driver72,pass5641,72,39.27,65.4,0
Driver73,pass1958,73,13.22,23.87,1
Driver74,pass9539,74,30.3,6.4,0
Driver75,pass8913,75,8.24,16.27,1
Driver76,pass5956,76,94.36,25.54,1
Driver77,pass6329,77,55.56,81.41,0
Driver78,pass5129,78,61.72,65.15,0
Driver79,pass6980,79,5.8,92.77,1
Driver80,pass1998,80,40.22,50.81,1
Driver81,pass3124,81,97.14,99.78,1
Driver82,pass1496,82,59.76,80.34,0
Driver83,pass8560,83,34.21,31.21,0
Driver84,pass1902,84,42.64,27,1
Driver85,pass1720,85,2.64,56.57,0
Driver86,pass1292,86,59.46,96.53,0
Driver87,pass1280,87,91.84,78.41,0
Driver88,pass4591,88,92.54,77.9,1
Driver89,pass1904,89,63.93,66.03,1
Driver90,pass5130,90,50.58,99.16,0
Driver91,pass3965,91,84.72,93.08,0
Driver92,pass6379,92,79.2,34.51,1
Driver93,pass5236,93,66.11,46.98,0
Driver94,pass4540,94,95.81,81.67,1
Driver95,pass1821,95,56.02,36.45,1
Driver96,pass1484,96,68.54,82.15,0
Driver97,pass2355,97,12.4,81.61,1
Driver98,pass3992,98,61.36,67.61,0
Driver99,pass3071,99,53.03,18.15,1
Driver100,pass2281,100,77.58,91.27,0
Driver101,pass6500,101,44.52,85.01,1
Driver102,pass4503,102,36.67,19.31,0
Driver103,pass2325,103,42.92,64.07,0
Driver104,pass3015,104,13.59,95.37,1
Driver105,pass6291,105,6.55,39.32,0
Driver106,pass2883,106,87.98,87.16,1
Driver107,pass6871,107,85.08,20.15,1
Driver108,pass9365,108,4.1,13.92,0
Driver109,pass2290,109,59.31,68.56,1
Driver110,pass6825,110,52.04,42.37,1
Driver111,pass1984,111,75.23,81.42,1
Driver112,pass7638,112,48.23,16.52,1
Driver113,pass9767,113,84.21,98.6,1
Driver114,pass8915,114,41.87,11.05,0
Driver115,pass3631,115,82.39,65.93,0
Driver116,pass5932,116,11.33,73.99,0
Driver117,pass8819,117,87.01,61.3,0
Driver118,pass6926,118,97.68,65.33,0
Driver119,pass2154,119,56.1,74.97,1
Driver120,pass3163,120,21.46,94.16,0
Driver121,pass4657,121,71.41,90.04,1
Driver122,pass8223,122,84.63,51.22,1
Driver123,pass6715,123,85.21,51.36,1
Driver124,pass8714,124,81.69,3.01,1
Driver125,pass2854,125,93.82,11.71,0
Driver126,pass2775,126,40.55,8.68,1
Driver127,pass3643,127,69.69,96.47,1
Driver128,pass9658,128,73.11,57.86,0
Driver129,pass6467,129,81.88,99.38,0
Driver130,pass3980,130,0.68,8.27,1
Driver131,pass5902,131,8.15,55.84,0
Driver132,pass7806,132,3.07,33.49,1
Driver133,pass6620,133,86.51,45.34,0
Driver134,pass1975,134,10.27,26.01,1
Driver135,pass1153,135,13.16,80.18,1
Driver136,pass3718,136,49.21,1.91,0
Driver137,pass2913,137,15.53,17.12,0
Driver138,pass3587,138,8.43,36.57,1
Driver139,pass3907,139,11.9,89.19,0
Driver140,pass4774,140,70.86,46.15,1
Driver141,pass9069,141,65.51,88.95,1
Driver142,pass6586,142,80.29,26.98,1
Driver143,pass1519,143,59.98,62.95,0
Driver144,pass1928,144,5.31,6.04,1
Driver145,pass1935,145,16.4,83.03,0
Driver146,pass9233,146,79.96,85.21,1
Driver147,pass1456,147,80.68,91.18,0
Driver148,pass5070,148,21.01,82.33,0
Driver149,pass3794,149,73.64,37.53,0
Driver150,pass8602,150,62.82,22.7,1
Driver151,pass9094,151,57.36,14.76,1
Driver152,pass7359,152,41.97,1.5,1
Driver153,pass7191,153,73.41,99.29,0
Driver154,pass9906,154,32.8,38.24,0
Driver155,pass9998,155,84.92,79.72,1
Driver156,pass1224,156,56.27,65.29,0
Driver157,pass7811,157,12.68,32.56,1
Driver158,pass5774,158,88.26,13.9,1
Driver159,pass2901,159,25.41,34.63,0
Driver160,pass6315,160,23.05,85.01,1
Driver161,pass1444,161,25.42,76.02,0
Driver162,pass4081,162,31.27,4.19,1
Driver163,pass4927,163,25.98,89.22,1
Driver164,pass2497,164,96.15,18.28,1
Driver165,pass1844,165,8.77,83.44,1
Driver166,pass2950,166,71.58,74.91,1
Driver167,pass9441,167,90.28,64.99,0
Driver168,pass8103,168,35.89,49.31,1
Driver169,pass5207,169,13.25,39.2,1
Driver170,pass3596,170,3.98,10.99,0
Driver171,pass9836,171,13.9,12.38,0
Driver172,pass6493,172,12.32,56.52,1
Driver173,pass4756,173,30.66,99.79,1
Driver174,pass9073,174,25.67,28.65,0
Driver175,pass2241,175,18.71,89.35,1
Driver176,pass3566,176,90.64,20.05,0
Driver177,pass5259,177,46.32,28.09,1
Driver178,pass2074,178,34.04,50.32,0
Driver179,pass2348,179,53.27,42.64,0
Driver180,pass5393,180,8.31,26.63,1
Driver181,pass4474,181,59.65,62.54,1
Driver182,pass8284,182,23.76,10.09,0
Driver183,pass4641,183,45.63,18.55,1
Driver184,pass1350,184,88.56,86.16,0
Driver185,pass6778,185,40.47,18.73,1
Driver186,pass9795,186,99.73,14.98,1
Driver187,pass2689,187,74.27,76.31,0
Driver188,pass8960,188,82.45,49.92,1
Driver189,pass3001,189,88.04,60.2,0
Driver190,pass8973,190,90.92,11.88,0
Driver191,pass5095,191,71.03,34.79,1
Driver192,pass5837,192,28.77,37.33,1
Driver193,pass5231,193,15.94,96.48,1
Driver194,pass3102,194,72.08,45.75,1
Driver195,pass4829,195,48.83,88.15,1
Driver196,pass1469,196,55.66,88.61,1
Driver197,pass9170,197,36.65,68.34,1
Driver198,pass4824,198,55.54,37.4,0
Driver199,pass4923,199,4.21,53.76,1
Driver200,pass4586,200,95.06,68.14,0
Driver201,pass5690,201,3.23,49.29,1
Driver202,pass9583,202,44.39,80.86,1
Driver203,pass9560,203,69.37,26.85,1
Driver204,pass3561,204,88.41,28.65,1
Driver205,pass5655,205,66.44,64.07,1
Driver206,pass6060,206,12.9,67.72,1
Driver207,pass7310,207,3.01,84.91,0
Driver208,pass1949,208,44.46,33.66,1
Driver209,pass2983,209,83.88,12.06,0
Driver210,pass3459,210,51.66,65.83,1
Driver211,pass8268,211,68.61,97.87,0
Driver212,pass6410,212,91.56,14.82,1
Driver213,pass7701,213,68.62,38.89,0
Driver214,pass1654,214,29.83,98.28,0
Driver215,pass7094,215,41.55,1.06,0
Driver216,pass2542,216,2.7,40.99,1
Driver217,pass5630,217,12.96,77.09,0
Driver218,pass6576,218,26.3,14.44,0
Driver219,pass5060,219,97.8,67.88,0
Driver220,pass6226,220,12.41,36.3,1
Driver221,pass3566,221,73.69,20.12,1
Driver222,pass8051,222,34.23,48.03,1
Driver223,pass7586,223,37.1,76.2,0
Driver224,pass4588,224,73.98,42.89,0
Driver225,pass6525,225,50.45,5.97,0
Driver226,pass9253,226,98.81,10.21,1
Driver227,pass4154,227,43.4,73.79,1
Driver228,pass9833,228,67.98,94.45,1
Driver229,pass8045,229,34.21,27.1,0
Driver230,pass3509,230,36.45,2.61,0
Driver231,pass2517,231,79.2,45.94,1
Driver232,pass3779,232,77.57,11.87,0
Driver233,pass4742,233,57.15,0.29,1
Driver234,pass8762,234,3.29,48.92,0
Driver235,pass9970,235,10.78,38.61,0
Driver236,pass4862,236,36.39,66,0
Driver237,pass1630,237,30.92,79.43,1
Driver238,pass4974,238,84.05,26.06,1
Driver239,pass8342,239,54.72,31.33,0
Driver240,pass1357,240,94.35,28.76,1
Driver241,pass9176,241,33.53,24.31,1
Driver242,pass7768,242,11.11,55.54,1
Driver243,pass6234,243,80.88,71.54,0
Driver244,pass9694,244,4.02,28.52,0
Driver245,pass2642,245,8.88,23.88,1
Driver246,pass9886,246,18.06,77.69,0
Driver247,pass4637,247,8.93,52.44,1
Driver248,pass7839,248,0.7,0.7,1
Driver249,pass9548,249,68.49,66.81,0
Driver250,pass9606,250,35.05,51.84,1
Driver251,pass5070,251,7.37,92.93,1
Driver252,pass1981,252,50.06,88.71,0
Driver253,pass3792,253,17.41,40.28,0
Driver254,pass5370,254,94.94,75.61,0
Driver255,pass5333,255,57.4,91.34,0
Driver256,pass4935,256,78.06,85.78,0
Driver257,pass5751,257,90.04,63.65,1
Driver258,pass3407,258,39.98,4.91,1
Driver259,pass5101,259,66.16,88.1,0
Driver260,pass3882,260,38.1,54.34,1
Driver261,pass2863,261,65.51,37.12,0
Driver262,pass2096,262,34.98,69.34,1
Driver263,pass4699,263,52.84,95.63,1
Driver264,pass8199,264,47.45,46.39,0
Driver265,pass4557,265,40.34,53.52,0
Driver266,pass2694,266,60.02,79.97,1
Driver267,pass2600,267,18.24,17.35,1
Driver268,pass3208,268,23.69,25.91,1
Driver269,pass3810,269,20.61,96.68,1
Driver270,pass5949,270,56.79,4.68,1
Driver271,pass3357,271,35.52,47.78,1
Driver272,pass3344,272,27.53,51.89,1
Driver273,pass3889,273,38.87,96.89,0
Driver274,pass9274,274,20.19,42.09,0
Driver275,pass5367,275,55.07,91.49,1
Driver276,pass4342,276,61.68,50.46,0
Driver277,pass4601,277,34.58,33.21,1
Driver278,pass8076,278,4.63,71.06,0
Driver279,pass7351,279,50.1,32.68,1
Driver280,pass1115,280,11.21,75.78,0
Driver281,pass8854,281,40.87,45.02,0
Driver282,pass7750,282,3.27,37.3,1
Driver283,pass6605,283,76.18,11.29,1
Driver284,pass4477,284,90.16,55.65,1
Driver285,pass3379,285,11.75,58.72,1
Driver286,pass3902,286,2.94,74.41,1
Driver287,pass6189,287,73.82,19.43,0
Driver288,pass5046,288,21.01,77.38,1
Driver289,pass6060,289,59.45,88.01,1
Driver290,pass7996,290,70.56,80.43,1
Driver291,pass1036,291,91,17.24,0
Driver292,pass6530,292,56.98,14.16,0
Driver293,pass4943,293,11.31,11.85,1
Driver294,pass1796,294,97.33,39.69,0
Driver295,pass6396,295,95.16,38.17,0
Driver296,pass3687,296,10.33,11.84,0
Driver297,pass2443,297,35.86,84.89,0
Driver298,pass6470,298,37.58,64.75,0
Driver299,pass5125,299,89.76,48.79,1
Driver300,pass6632,300,52.45,12.37,1
Driver301,pass1978,301,80.2,11.07,1
Driver302,pass9965,302,62.5,33.87,0
Driver303,pass8592,303,5.7,45.36,0
Driver304,pass1823,304,37,77.16,0
Driver305,pass5792,305,58.86,66.43,1
Driver306,pass3422,306,81.23,12.11,0
Driver307,pass7388,307,74.23,20.28,0
Driver308,pass2772,308,57.62,74.05,1
Driver309,pass6915,309,31.95,63.63,0
Driver310,pass1102,310,71.45,55.37,1
Driver311,pass9378,311,95.08,31.14,1
Driver312,pass6861,312,68.74,27.64,1
Driver313,pass3998,313,4.95,45.12,0
Driver314,pass2180,314,43.35,25.28,1
Driver315,pass2929,315,71.77,22.68,0
Driver316,pass7028,316,55.45,13.68,0
Driver317,pass9726,317,81.37,91.04,1
Driver318,pass4707,318,92.96,99.8,0
Driver319,pass8239,319,18.03,69.59,0
Driver320,pass8852,320,99.51,71.48,0
Driver321,pass1885,321,51.35,90.61,0
Driver322,pass2679,322,0.85,9.07,0
Driver323,pass3768,323,55.33,68.71,1
Driver324,pass4613,324,51.4,53.59,0
Driver325,pass1939,325,20.52,68.7,0
Driver326,pass1700,326,59.28,37.08,0
Driver327,pass5482,327,39.33,74.21,1
Driver328,pass4329,328,39.03,66.14,0
Driver329,pass8754,329,43.31,43.37,1
Driver330,pass1038,330,34.76,12.52,0
Driver331,pass9033,331,5.12,29.45,1
Driver332,pass6628,332,36.66,66.93,1
Driver333,pass2254,333,88.65,98.66,0
Driver334,pass2379,334,88.93,30.69,1
Driver335,pass3163,335,35.16,50.12,0
Driver336,pass3615,336,4.52,4.15,0
Driver337,pass5483,337,58.07,22.15,1
Driver338,pass1643,338,7.94,98.2,0
Driver339,pass3054,339,49.3,50.77,1
Driver340,pass7719,340,16.85,16.06,0
Driver341,pass7050,341,0.77,26.31,1
Driver342,pass2932,342,32.35,96.78,1
Driver343,pass2415,343,7.17,43.84,0
Driver344,pass5419,344,64.29,0.93,0
Driver345,pass6008,345,42.25,65.3,1
Driver346,pass6395,346,44.5,8.73,0
Driver347,pass1029,347,30.11,9.64,0
Driver348,pass3424,348,48.47,39.18,1
Driver349,pass8453,349,51.25,80.84,1
Driver350,pass2437,350,88.33,79.86,0
Driver351,pass2586,351,78.29,3.4,0
Driver352,pass2235,352,53.43,83.11,1
Driver353,pass1611,353,16.87,36.74,1
Driver354,pass5211,354,79.25,81.13,1
Driver355,pass3074,355,55.42,83.51,1
Driver356,pass3434,356,91.09,84.58,0
Driver357,pass2068,357,9.81,78.71,0
Driver358,pass4906,358,91.13,39.95,1
Driver359,pass6792,359,17.43,38.57,0
Driver360,pass5772,360,93.45,40.51,0
Driver361,pass5781,361,36.42,17.88,1
Driver362,pass1977,362,41.63,65.88,1
Driver363,pass8189,363,35.52,68.62,0
Driver364,pass4797,364,13,60.25,0
Driver365,pass1944,365,59.73,59.92,1
Driver366,pass9518,366,39.7,49.28,1
Driver367,pass7249,367,39.68,51.34,1
Driver368,pass2085,368,6.18,76.69,0
Driver369,pass3363,369,54.9,80.66,1
Driver370,pass5343,370,47.91,60.05,1
Driver371,pass5868,371,59.94,85.35,0
Driver372,pass9282,372,52.97,90.36,0
Driver373,pass8473,373,32.61,89.55,1
Driver374,pass9065,374,4.27,96.87,0
Driver375,pass9559,375,50.09,34.95,1
Driver376,pass6700,376,91.93,72.2,1
Driver377,pass6550,377,12.92,43.26,0
Driver378,pass1371,378,52.17,72.97,0
Driver379,pass4734,379,95.51,16.62,1
Driver380,pass6611,380,72,82.26,0
Driver381,pass1159,381,92.62,88.72,1
Driver382,pass7359,382,97.58,71.88,1
Driver383,pass2204,383,95.21,63.22,0
Driver384,pass2018,384,45,30.26,0
Driver385,pass8452,385,87.74,35.32,1
Driver386,pass9111,386,77.41,11.82,1
Driver387,pass2608,387,84.12,10,0
Driver388,pass1593,388,84.18,44.89,0
Driver389,pass4858,389,97.98,25.36,0
Driver390,pass3368,390,35.16,59.42,1
Driver391,pass3145,391,13.36,2.25,1
Driver392,pass7309,392,20.08,64.31,1
Driver393,pass5843,393,5.96,67.19,0
Driver394,pass4543,394,51.39,9.11,0
Driver395,pass4012,395,67.71,10.34,0
Driver396,pass7836,396,73.37,4.28,1
Driver397,pass3870,397,13.47,42.03,0
Driver398,pass6653,398,99.76,54.66,0
Driver399,pass7357,399,88.85,91.33,1
Driver400,pass8427,400,53.93,61.96,0
Driver401,pass9994,401,95.88,89.51,1
Driver402,pass8327,402,75.21,14.09,0
Driver403,pass3482,403,47.13,26.16,0
Driver404,pass4221,404,8.82,60.37,0
Driver405,pass1626,405,42.35,3.53,1
Driver406,pass1458,406,5.04,21.43,1
Driver407,pass1033,407,58.16,71.98,1
Driver408,pass9358,408,2.29,50.48,1
Driver409,pass3147,409,5.63,26.63,0
Driver410,pass9749,410,60.82,13.71,0
Driver411,pass9219,411,83.46,81.73,1
Driver412,pass3975,412,67.33,27.18,1
Driver413,pass5143,413,5.9,37.13,1
Driver414,pass8234,414,86.04,6.46,0
Driver415,pass5239,415,2.05,60.51,0
Driver416,pass7455,416,71.39,57.2,1
Driver417,pass2182,417,28.71,7.33,1
Driver418,pass9945,418,84.58,23.85,1
Driver419,pass9403,419,57.58,63.33,0
Driver420,pass4043,420,37.58,52.58,0
Driver421,pass2623,421,54.97,86.5,0
Driver422,pass5345,422,39.08,62.22,0
Driver423,pass3394,423,78.93,63.82,1
Driver424,pass4896,424,44.18,1.96,1
Driver425,pass5922,425,37.55,55.25,1
Driver426,pass6803,426,76.77,61.49,1
Driver427,pass9218,427,67.28,65.67,1
Driver428,pass2115,428,95.46,51.26,1
Driver429,pass5057,429,9.5,93.11,1
Driver430,pass7289,430,95.53,68.7,1
Driver431,pass4759,431,39.37,37.55,0
Driver432,pass6894,432,81.86,50.79,0
Driver433,pass2791,433,22.69,7.7,1
Driver434,pass7278,434,10.76,4.19,0
Driver435,pass3441,435,73.29,83.04,0
Driver436,pass9276,436,14.89,83.14,1
Driver437,pass9516,437,13.05,90,0
Driver438,pass2476,438,45.79,11.16,1
Driver439,pass3418,439,33.48,53.59,1
Driver440,pass8020,440,54.2,99.99,1
Driver441,pass2150,441,89.13,86.57,0
Driver442,pass9104,442,26.22,18.59,1
Driver443,pass5715,443,13.93,64.18,0
Driver444,pass3859,444,50.82,14.4,0
Driver445,pass6274,445,8.12,13.67,0
Driver446,pass6796,446,8.58,88.61,1
Driver447,pass4912,447,57.38,85.81,1
Driver448,pass9593,448,30.2,38.98,1
Driver449,pass8039,449,24.57,90.29,0
Driver450,pass9031,450,22.65,89.77,1
Driver451,pass4407,451,59.79,35.59,0
Driver452,pass7665,452,26.52,94.15,0
Driver453,pass7162,453,51.22,67.01,1
Driver454,pass9907,454,42.01,34.49,1
Driver455,pass1382,455,79.06,3.08,0
Driver456,pass1896,456,92.49,85.56,1
Driver457,pass1499,457,43.13,11.79,0
Driver458,pass2151,458,4.8,5.43,0
Driver459,pass8442,459,67.49,85.12,1
Driver460,pass3451,460,12.55,79.48,0
Driver461,pass3411,461,74.73,38.09,1
Driver462,pass5024,462,75.2,52.32,1
Driver463,pass2141,463,71.87,31.62,0
Driver464,pass7628,464,90.74,94.01,1
Driver465,pass5802,465,5.78,90.61,0
Driver466,pass7941,466,27.95,24.76,0
Driver467,pass9595,467,2.75,66.8,0
Driver468,pass4282,468,37.83,91.72,0
Driver469,pass8700,469,23.87,71.44,1
Driver470,pass3605,470,56.05,80.66,1
Driver471,pass4472,471,40.55,29.96,0
Driver472,pass1878,472,15.24,24.23,1
Driver473,pass6222,473,45.76,34.06,0
Driver474,pass9277,474,15.47,97.41,0
Driver475,pass7015,475,19.19,7.34,1
Driver476,pass9828,476,42.62,98.66,0
Driver477,pass1607,477,94.51,72.33,1
Driver478,pass3266,478,64.9,37.32,1
Driver479,pass8701,479,40.91,42.53,0
Driver480,pass5355,480,60.55,42.26,1
Driver481,pass5688,481,60.63,34,1
Driver482,pass5267,482,9.39,80.97,0
Driver483,pass9568,483,71.41,67.4,0
Driver484,pass3579,484,37.5,31.03,0
Driver485,pass8365,485,20.3,19.04,0
Driver486,pass3126,486,25.02,47.94,0
Driver487,pass8550,487,87.2,8.86,0
Driver488,pass1770,488,44.14,34.92,0
Driver489,pass4630,489,11.62,49.53,1
Driver490,pass3257,490,20.87,8.73,1
Driver491,pass1627,491,64.59,16.54,1
Driver492,pass1833,492,42.99,80.73,1
Driver493,pass4970,493,92.75,34.78,0
Driver494,pass1444,494,81.06,89.15,1
Driver495,pass7037,495,44.65,96.33,1
Driver496,pass3056,496,58.79,49.62,0
Driver497,pass3368,497,64.26,90,1
Driver498,pass1634,498,33.87,97.89,0
Driver499,pass7146,499,91.39,93.82,0
Driver500,pass2965,500,8.75,45.13,0
